area_type,availability,location,total_sqft,bath,price,bedrooms
Super built-up  Area,Ready To Move,Banashankari,1460.0,2.0,70.0,2
Super built-up  Area,Ready To Move,Akshaya Nagar,1690.0,3.0,85.0,3
Built-up  Area,Ready To Move,Indira Nagar,850.0,1.0,57.0,1
Super built-up  Area,Ready To Move,Kanakpura Road,1843.0,3.0,82.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,1680.0,3.0,117.0,3
Super built-up  Area,Ready To Move,Kundalahalli,1047.0,2.0,84.0,2
Super built-up  Area,18-Jun,8th Phase JP Nagar,1100.0,2.0,35.0,2
Plot  Area,Ready To Move,Indira Nagar,3250.0,8.0,600.0,8
Super built-up  Area,Ready To Move,Nagarbhavi,1120.0,2.0,53.0,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1095.0,2.0,38.33,2
Super built-up  Area,19-Oct,Carmelaram,970.0,2.0,35.0,2
Plot  Area,Ready To Move,Bommanahalli,1200.0,7.0,125.0,5
Built-up  Area,Ready To Move,Hosa Road,1100.0,2.0,85.0,3
Super built-up  Area,Ready To Move,Uttarahalli,1685.0,3.0,85.0,3
Built-up  Area,Ready To Move,Doddanekundi,1148.0,2.0,59.0,2
Built-up  Area,Ready To Move,Marathahalli,1050.0,2.0,65.0,2
Super built-up  Area,Ready To Move,Bannerghatta Road,1465.0,2.0,76.0,3
Plot  Area,Ready To Move,Kothanur,3401.0,5.0,230.0,4
Built-up  Area,17-Dec,Electronic City,630.0,1.0,60.0,1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1850.0,3.0,150.0,3
Plot  Area,Ready To Move,Vidyaranyapura,1200.0,9.0,175.0,9
Built-up  Area,Ready To Move,Cottonpet,1750.0,2.0,225.0,4
Built-up  Area,Ready To Move,Shikaripalya,1350.0,3.0,60.0,3
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,1760.0,3.0,160.0,3
Super built-up  Area,Ready To Move,Rajaji Nagar,1440.0,2.0,185.0,2
Super built-up  Area,Ready To Move,Banashankari Stage III,1200.0,2.0,42.0,2
Built-up  Area,Ready To Move,Hennur Bande,1100.0,2.0,78.0,2
Built-up  Area,Ready To Move,Kaggadasapura,1140.0,2.0,46.0,2
Super built-up  Area,19-Aug,Hormavu,1617.5,3.0,73.595,3
Super built-up  Area,Ready To Move,Gottigere,1410.0,2.0,45.0,2
Super built-up  Area,Ready To Move,Mahadevpura,1434.0,2.0,67.39,3
Plot  Area,Ready To Move,"ravindra nagar, T.dasarahalli peenya",1180.0,2.0,74.0,2
Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,42.0,2
Super built-up  Area,Ready To Move,EPIP Zone,1343.0,2.0,86.0,2
Built-up  Area,Ready To Move,LB Shastri Nagar,1184.0,2.0,69.0,2
Super built-up  Area,Ready To Move,Koramangala,2246.0,3.0,300.0,3
Built-up  Area,Ready To Move,Rajankunte,4510.0,4.0,200.0,3
Super built-up  Area,Ready To Move,Banashankari Stage III,1305.0,2.0,59.0,3
Super built-up  Area,Ready To Move,Sarjapur  Road,3785.0,5.0,280.0,4
Super built-up  Area,Ready To Move,1st Block BEL Layout,1540.0,3.0,85.0,3
Super built-up  Area,Ready To Move,Kanakpura Road,1550.0,3.0,65.11,3
Super built-up  Area,Ready To Move,Yelahanka,1345.0,2.0,57.0,3
Super built-up  Area,Ready To Move,Electronic City Phase II,975.0,2.0,45.0,3
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,46.0,2
Super built-up  Area,18-Aug,JP Nagar,1152.0,2.0,34.56,2
Built-up  Area,Ready To Move,Old Airport Road,3200.0,4.0,700.0,4
Super built-up  Area,19-Dec,Kodathi,1033.0,2.0,31.5,3
Super built-up  Area,Ready To Move,Richards Town,1800.0,3.0,230.0,3
Super built-up  Area,Ready To Move,Marathahalli,1102.0,2.0,53.67,2
Super built-up  Area,Ready To Move,Subramanyapura,1223.0,2.0,42.81,3
Super built-up  Area,18-Mar,Kadugodi,1762.0,3.0,112.0,3
Built-up  Area,Ready To Move,Kengeri Satellite Town,560.0,2.0,16.6,2
Built-up  Area,Ready To Move,KR Puram,2000.0,6.0,85.0,6
Super built-up  Area,Ready To Move,Electronic City,1410.0,2.0,38.0,3
Super built-up  Area,19-Dec,Thanisandra,1853.0,3.0,64.86,3
Super built-up  Area,Ready To Move,Kothanur,1455.0,2.0,69.0,2
Super built-up  Area,18-Jan,Hebbal,1138.0,2.0,110.0,2
Built-up  Area,Ready To Move,Sarjapur  Road,2556.0,3.0,169.0,3
Super built-up  Area,18-May,TC Palaya,1200.0,2.0,66.5,3
Super built-up  Area,Ready To Move,Anantapura,1200.0,2.0,37.0,2
Plot  Area,19-Jan,Anekal,1200.0,1.0,36.0,2
Super built-up  Area,19-Jun,Whitefield,1870.0,3.0,138.0,3
Super built-up  Area,18-May,Panathur,1199.0,2.0,86.0,2
Plot  Area,Ready To Move,Prakruthi Township,800.0,8.0,150.0,6
Super built-up  Area,Ready To Move,Doddakallasandra,1360.0,2.0,54.4,3
Super built-up  Area,Ready To Move,Babusapalaya,1230.0,3.0,53.0,3
Super built-up  Area,Ready To Move,Hosahalli Extension,2000.0,3.0,120.0,3
Plot  Area,Ready To Move,Kasturi Nagar,1200.0,4.0,250.0,4
Super built-up  Area,Ready To Move,Kundalahalli,1047.0,2.0,83.0,2
Plot  Area,18-Mar,Electronic City Phase II,6000.0,4.0,260.0,4
Plot  Area,18-Feb,Ramamurthy Nagar,1200.0,2.0,76.0,2
Super built-up  Area,18-Jan,Kengeri Satellite Town,1302.5,2.0,44.285,2
Super built-up  Area,Ready To Move,Kengeri,725.0,2.0,30.0,2
Super built-up  Area,Ready To Move,Jakkur,1645.0,3.0,100.0,3
Built-up  Area,Ready To Move,Sultan Palaya,870.0,2.0,65.0,2
Super built-up  Area,Ready To Move,Marathahalli,1026.0,2.0,49.95,2
Built-up  Area,18-Jul,Bennigana Halli,2000.0,3.0,145.0,3
Super built-up  Area,Ready To Move,Cooke Town,1710.0,2.0,200.0,2
Super built-up  Area,18-Apr,Hosur Road,1766.0,3.0,130.0,3
Super built-up  Area,Ready To Move,Makali,500.0,1.0,15.0,1
Built-up  Area,18-Apr,JP Nagar,1100.0,1.0,15.0,2
Super built-up  Area,Ready To Move,Jigani,1221.0,3.0,52.0,3
Super built-up  Area,Ready To Move,Rachenahalli,680.0,1.0,46.0,1
Super built-up  Area,Ready To Move,Sarjapur  Road,1278.0,2.0,90.0,2
Super built-up  Area,Ready To Move,Kodichikkanahalli,1025.0,2.0,66.0,2
Super built-up  Area,18-Aug,Whitefield,1175.0,2.0,39.0,2
Super built-up  Area,19-Jul,Sarjapur  Road,975.0,2.0,28.275,2
Built-up  Area,Ready To Move,6th Phase JP Nagar,600.0,1.0,75.0,1
Super built-up  Area,Ready To Move,Seethappa Layout,850.0,2.0,42.0,2
Super built-up  Area,Ready To Move,Anjanapura,710.0,2.0,25.0,2
Built-up  Area,18-Dec,Huskur,1165.0,2.0,33.64,2
Super built-up  Area,18-Apr,Sarjapur,625.0,1.0,19.0,1
Super built-up  Area,Ready To Move,Kaggadasapura,1340.0,3.0,66.0,3
Super built-up  Area,Ready To Move,Ananth Nagar,937.0,2.0,35.0,2
Plot  Area,Ready To Move,Lakkasandra,1500.0,6.0,210.0,7
Super built-up  Area,Ready To Move,JP Nagar,750.0,1.0,52.5,1
Built-up  Area,Ready To Move,Shampura,1475.0,3.0,78.0,3
Plot  Area,Ready To Move,Singapura Village,2230.0,4.0,130.0,4
Plot  Area,Ready To Move,Jnanabharathi Layout,2200.0,5.0,100.0,4
Plot  Area,Ready To Move,Mysore Road,900.0,2.0,65.0,2
Super built-up  Area,Ready To Move,Electronic City Phase II,1116.0,2.0,37.0,2
Built-up  Area,Ready To Move,Hoodi,948.0,2.0,75.0,2
Super built-up  Area,Ready To Move,R.T. Nagar,970.0,2.0,55.0,2
Super built-up  Area,Ready To Move,Akshayanagara East,1519.0,3.0,67.23,3
Super built-up  Area,Ready To Move,Thanisandra,1200.0,2.0,65.0,3
Super built-up  Area,Ready To Move,Bhoganhalli,1760.0,3.0,127.0,3
Plot  Area,Ready To Move,Whitefield,4400.0,5.0,525.0,4
Super built-up  Area,Ready To Move,Sahakara Nagar,1914.0,3.0,179.0,3
Super built-up  Area,Ready To Move,Budigere,1820.0,3.0,85.5,3
Super built-up  Area,Ready To Move,Budigere,1820.0,3.0,93.0,3
Built-up  Area,Ready To Move,Kalena Agrahara,1565.0,3.0,78.0,3
Super built-up  Area,Ready To Move,Begur Road,1334.0,2.0,42.69,2
Super built-up  Area,19-Mar,Sarakki Nagar,924.0,2.0,76.23,2
Super built-up  Area,Ready To Move,Jigani,914.0,2.0,49.0,2
Built-up  Area,Ready To Move,Kengeri,500.0,1.0,17.0,1
Super built-up  Area,18-Mar,Yelahanka,2145.0,3.0,125.0,3
Plot  Area,Ready To Move,Yelahanka,1200.0,5.0,162.0,5
Built-up  Area,18-Apr,Electronic City,1650.0,3.0,100.0,3
Super built-up  Area,Ready To Move,Marathahalli,3940.0,4.0,220.0,4
Built-up  Area,18-Dec,Electronic City,1020.0,2.0,29.45,2
Built-up  Area,Ready To Move,Basaveshwara Nagar,1180.0,2.0,58.0,2
Super built-up  Area,Ready To Move,Ulsoor,1255.0,2.0,120.0,2
Super built-up  Area,20-Jul,Langford Gardens,2777.29,5.0,650.0,3
Super built-up  Area,Ready To Move,Bommasandra,1014.0,2.0,35.0,2
Built-up  Area,Ready To Move,Shampura,920.0,2.0,90.0,4
Super built-up  Area,Ready To Move,Attibele,695.0,1.0,25.0,2
Plot  Area,Ready To Move,Prithvi Layout,2273.0,4.0,220.0,3
Super built-up  Area,18-Mar,GM Palaya,1140.0,2.0,48.95,2
Built-up  Area,Ready To Move,Giri Nagar,3000.0,4.0,375.0,6
Super built-up  Area,Ready To Move,Whitefield,1180.0,2.0,41.0,2
Super built-up  Area,20-Aug,Begur Road,2400.0,4.0,152.0,4
Super built-up  Area,Ready To Move,Attibele,850.0,1.0,25.0,2
Super built-up  Area,Ready To Move,Banashankari,1200.0,2.0,60.0,2
Built-up  Area,18-Dec,"Bellandur, ",3160.0,4.0,206.0,4
Super built-up  Area,Ready To Move,Hoodi,1769.0,3.0,96.87,3
Carpet  Area,18-Dec,Bhoganhalli,1554.3,4.0,131.0,4
Super built-up  Area,Ready To Move,Haralur Road,1243.0,2.0,46.0,2
Plot  Area,18-Apr,2nd Block Jayanagar,4920.0,5.0,1150.0,4
Super built-up  Area,Ready To Move,Mallasandra,905.0,2.0,40.0,2
Built-up  Area,Ready To Move,Kothanur,627.0,1.0,30.0,1
Built-up  Area,18-Mar,Domlur,2180.0,3.0,285.0,3
Super built-up  Area,Ready To Move,Frazer Town,2400.0,3.0,260.0,3
Super built-up  Area,Ready To Move,Marathahalli,1435.0,3.0,73.0,3
Super built-up  Area,22-May,Jakkur,3405.1,6.0,400.0,4
Built-up  Area,Ready To Move,Kodihalli,1620.0,3.0,130.0,3
Super built-up  Area,Ready To Move,Whitefield,1862.0,3.0,125.0,3
Super built-up  Area,19-Nov,Kaikondrahalli,674.0,1.0,19.9,2
Super built-up  Area,Ready To Move,Marathahalli,1220.0,2.0,59.0,2
Super built-up  Area,Ready To Move,Haralur Road,1027.0,2.0,44.0,2
Super built-up  Area,Ready To Move,Electronic City,1025.0,2.0,49.0,2
Super built-up  Area,Ready To Move,Thanisandra,1430.0,2.0,54.5,3
Super built-up  Area,Ready To Move,Panathur,1235.0,2.0,65.0,2
Super built-up  Area,Ready To Move,Electronics City Phase 1,1291.0,2.0,32.0,3
Super built-up  Area,Ready To Move,Kanakpura Road,1498.0,3.0,95.0,3
Super built-up  Area,Ready To Move,Sarjapur  Road,2180.0,3.0,240.0,3
Super built-up  Area,18-Apr,Electronic City,1000.0,2.0,29.7,2
Plot  Area,Ready To Move,Ejipura,922.0,2.0,70.0,2
Built-up  Area,Ready To Move,Victoria Layout,850.0,2.0,72.0,2
Plot  Area,Ready To Move,New Thippasandra,750.0,3.0,155.0,3
Super built-up  Area,Ready To Move,AECS Layout,1123.0,2.0,64.0,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1235.0,2.0,75.0,2
Super built-up  Area,Ready To Move,Kogilu,1250.0,2.0,55.55,2
Plot  Area,Ready To Move,Whitefield,2403.0,5.0,360.0,4
Super built-up  Area,18-Nov,Sarjapur  Road,984.0,2.0,45.91,2
Super built-up  Area,Ready To Move,Sarjapur  Road,1305.0,2.0,99.0,2
Plot  Area,Ready To Move,Attur Layout,1200.0,1.0,65.0,2
Plot  Area,Ready To Move,1st Block HRBR Layout,600.0,3.0,90.0,3
Super built-up  Area,19-Jun,Hebbal,2790.0,5.0,204.0,4
Super built-up  Area,Ready To Move,Old Madras Road,2010.0,3.0,125.0,4
Built-up  Area,Ready To Move,Electronics City Phase 1,995.0,2.0,42.0,2
Built-up  Area,Ready To Move,Varthur Road,1277.0,2.0,59.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1236.0,2.0,61.33,2
Super built-up  Area,Ready To Move,Akshaya Nagar,1265.0,2.0,67.0,2
Built-up  Area,Ready To Move,Gubbalala,2570.0,4.0,141.0,5
Plot  Area,Ready To Move,Hennur Road,2400.0,5.0,390.0,4
Super built-up  Area,Ready To Move,Shikaripalya,1442.0,3.0,56.24,3
Super built-up  Area,Ready To Move,Ardendale,1224.0,2.0,70.0,2
Super built-up  Area,Ready To Move,Bellandur,1205.0,2.0,59.0,2
Super built-up  Area,Ready To Move,Richmond Town,1233.0,2.0,100.0,2
Super built-up  Area,Ready To Move,5th Block Hbr Layout,1312.0,2.0,69.0,2
Super built-up  Area,Ready To Move,Electronic City,1449.0,3.0,90.0,3
Super built-up  Area,Ready To Move,Yelenahalli,1090.0,2.0,54.0,2
Plot  Area,Ready To Move,Kaggadasapura,2100.0,5.0,150.0,5
Super built-up  Area,Ready To Move,Uttarahalli,1390.0,2.0,62.55,3
Super built-up  Area,Ready To Move,JP Nagar,1200.0,2.0,78.0,2
Plot  Area,Ready To Move,Mallasandra,600.0,2.0,50.0,4
Super built-up  Area,Ready To Move,BTM 2nd Stage,1000.0,2.0,58.0,2
Plot  Area,18-Oct,Devanahalli,2400.0,5.0,190.0,4
Super built-up  Area,21-Dec,Thanisandra,1732.0,3.0,85.73,3
Super built-up  Area,Ready To Move,Banashankari,1290.0,2.0,80.0,2
Super built-up  Area,Ready To Move,Marasandra,1840.0,3.0,85.0,3
Super built-up  Area,Ready To Move,Thanisandra,1917.0,4.0,100.0,3
Built-up  Area,Ready To Move,Bhuvaneshwari Nagar,1100.0,2.0,57.0,2
Super built-up  Area,Ready To Move,Kudlu,1455.0,2.0,60.0,3
Super built-up  Area,18-Dec,Old Airport Road,2774.0,4.0,208.0,4
Plot  Area,Ready To Move,Haralur Road,1200.0,5.0,255.0,5
Super built-up  Area,Ready To Move, Devarachikkanahalli,1425.0,2.0,65.0,3
Super built-up  Area,18-Dec,Whitefield,1655.0,3.0,113.0,3
Super built-up  Area,18-Mar,Haralur Road,2805.0,5.0,160.0,4
Built-up  Area,Ready To Move,R.T. Nagar,600.0,7.0,93.0,7
Super built-up  Area,Ready To Move,AGS Layout,1040.0,2.0,46.79,2
Super built-up  Area,Ready To Move,Akshaya Nagar,1126.0,2.0,55.0,2
Plot  Area,Ready To Move,Kodichikkanahalli,1600.0,4.0,200.0,6
Super built-up  Area,Ready To Move,Hebbal,1250.0,2.0,55.55,2
Plot  Area,Ready To Move,Yelahanka,1800.0,4.0,180.0,4
Plot  Area,Ready To Move,Kalkere Channasandra,1200.0,2.0,53.0,2
Built-up  Area,Ready To Move,Ashirvad Colony,2050.0,3.0,100.0,4
Super built-up  Area,Ready To Move,Whitefield,530.0,1.0,29.44,1
Built-up  Area,19-Jun,Sarjapur,2585.5,4.0,139.5,4
Super built-up  Area,Ready To Move,Kambipura,883.0,2.0,37.0,2
Super built-up  Area,Ready To Move,Uttarahalli,1490.0,2.0,59.6,3
Super built-up  Area,Ready To Move,Ramagondanahalli,1295.0,2.0,95.0,2
Super built-up  Area,Ready To Move,Sompura,1275.0,3.0,59.0,3
Super built-up  Area,Ready To Move,Doddabanahalli,800.0,2.0,30.0,2
Super built-up  Area,Ready To Move,Devanahalli,1200.0,1.0,95.0,1
Super built-up  Area,Ready To Move,Bellandur,1063.0,2.0,58.0,2
Super built-up  Area,Ready To Move,Balagere,656.0,1.0,43.0,1
Super built-up  Area,Ready To Move,Shakthi Nagar,1125.0,2.0,36.0,2
Super built-up  Area,18-Dec,Marathahalli,881.0,2.0,48.06,2
Plot  Area,Ready To Move,Nayandanahalli,1350.0,8.0,200.0,9
Built-up  Area,Ready To Move,Bisuvanahalli,700.0,1.0,32.0,2
Plot  Area,Ready To Move,AGS Layout,1936.0,3.0,110.0,3
Super built-up  Area,18-Dec,Hosa Road,1680.0,3.0,101.0,3
Super built-up  Area,Ready To Move,Rayasandra,1253.0,2.0,57.0,2
Super built-up  Area,Ready To Move,Rajaji Nagar,1640.0,3.0,230.0,3
Super built-up  Area,Ready To Move,Mysore Road,1082.0,3.0,50.0,3
Built-up  Area,18-Dec,Electronic City,1065.0,2.0,30.75,2
Super built-up  Area,18-Dec,Iblur Village,2100.0,4.0,145.0,3
Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,58.0,2
Super built-up  Area,16-Sep,Raja Rajeshwari Nagar,1280.0,3.0,57.6,3
Plot  Area,18-Apr,6th block Koramangala,1200.0,5.0,300.0,5
Built-up  Area,18-Aug,Electronic City Phase II,1125.0,2.0,29.25,2
Super built-up  Area,Ready To Move,Sarjapur  Road,1755.0,3.0,122.0,3
Super built-up  Area,Ready To Move,Electronic City,1210.0,2.0,54.0,2
Super built-up  Area,18-Sep,Talaghattapura,951.0,2.0,30.43,2
Built-up  Area,18-Apr,Electronic City,1500.0,2.0,75.0,3
Super built-up  Area,Ready To Move,Coffee Board Layout,1652.5,3.0,90.0,3
Super built-up  Area,Ready To Move,Yeshwanthpur,1381.0,2.0,76.18,3
Super built-up  Area,18-Dec,Whitefield,1085.0,2.0,57.0,2
Super built-up  Area,18-Apr,Whitefield,905.0,1.0,50.0,1
Super built-up  Area,Ready To Move,Hennur Road,1685.0,3.0,95.0,3
Super built-up  Area,Ready To Move,Somasundara Palya,1200.0,2.0,75.0,2
Super built-up  Area,Ready To Move,Anandapura,1151.0,2.0,42.9,2
Built-up  Area,Ready To Move,Brookefield,3532.0,3.0,170.0,4
Super built-up  Area,Ready To Move,Kanakpura Road,1665.0,3.0,86.91,3
Built-up  Area,Ready To Move,Kengeri Satellite Town,800.0,2.0,40.0,2
Built-up  Area,Ready To Move,Chamrajpet,1050.0,2.0,162.0,2
Super built-up  Area,Ready To Move,Rajiv Nagar,1030.0,2.0,46.5,2
Super built-up  Area,Ready To Move,Hoodi,1257.0,2.0,71.03,2
Super built-up  Area,18-Dec,Whitefield,1600.0,3.0,82.0,3
Super built-up  Area,Ready To Move,Choodasandra,1465.0,3.0,75.0,3
Super built-up  Area,Ready To Move,Jakkur,1650.0,3.0,111.0,3
Super built-up  Area,Ready To Move,Haralur Road,1243.0,2.0,46.0,2
Built-up  Area,Ready To Move,Yelahanka New Town,680.0,1.0,80.0,2
Plot  Area,18-Aug,Whitefield,1230.0,4.0,80.0,4
Super built-up  Area,Ready To Move,Koramangala,1300.0,2.0,82.0,2
Built-up  Area,Ready To Move,KR Puram,1000.0,2.0,44.5,2
Super built-up  Area,Ready To Move,Mahadevpura,1146.0,2.0,53.8,2
Super built-up  Area,Ready To Move,Hennagara,1200.0,6.0,120.0,6
Super built-up  Area,18-Mar,Indira Nagar,2601.0,4.0,312.0,3
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,2159.0,3.0,110.0,3
Super built-up  Area,Ready To Move,Whitefield,1255.0,2.0,40.0,2
Super built-up  Area,Ready To Move,Hebbal Kempapura,1130.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Padmanabhanagar,1200.0,2.0,60.0,2
Built-up  Area,Ready To Move,Sarjapur  Road,1040.0,2.0,37.0,2
Plot  Area,Ready To Move,TC Palaya,1500.0,8.0,150.0,8
Plot  Area,Ready To Move,Byrathi Village,906.0,3.0,55.0,4
Super built-up  Area,Ready To Move,Uttarahalli,1180.0,2.0,41.3,2
Plot  Area,Ready To Move,Ullal Uppanagar,1200.0,7.0,169.0,7
Plot  Area,Ready To Move,Govindpura,850.0,7.0,100.0,6
Super built-up  Area,Ready To Move,KR Puram,1200.0,2.0,47.0,2
Built-up  Area,Ready To Move,Sarjapur  Road,1374.0,3.0,51.0,3
Super built-up  Area,Ready To Move,Vidyaranyapura,4700.0,10.0,130.0,9
Super built-up  Area,19-Dec,Whitefield,630.5,1.0,32.15,1
Plot  Area,Ready To Move, south,2400.0,2.0,480.0,3
Super built-up  Area,Ready To Move,Haralur Road,1027.0,2.0,44.0,2
Plot  Area,Ready To Move,Ittamadu,1200.0,4.0,130.0,5
Super built-up  Area,Ready To Move,Jalahalli,2384.0,4.0,165.0,3
Super built-up  Area,19-Aug,Electronic City,1033.0,2.0,28.41,3
Super built-up  Area,Ready To Move,Yelahanka,1200.0,2.0,54.0,2
Built-up  Area,Ready To Move,Haralur Road,2017.0,3.0,105.0,3
Plot  Area,Ready To Move,Rainbow Drive,1500.0,3.0,138.0,3
Super built-up  Area,Ready To Move,Kamala Nagar,700.0,2.0,43.0,2
Plot  Area,Ready To Move,Shampura,1150.0,6.0,75.0,6
Super built-up  Area,Ready To Move,Kanakpura Road,1495.0,2.0,52.33,3
Super built-up  Area,Ready To Move,Kothanur,1302.0,2.0,68.5,2
Built-up  Area,18-Mar,Whitefield,905.0,1.0,52.0,1
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1303.0,2.0,55.79,2
Built-up  Area,Ready To Move,Electronics City Phase 1,1350.0,3.0,71.0,3
Super built-up  Area,Ready To Move,Gottigere,1380.0,2.0,95.0,3
Super built-up  Area,Ready To Move,Harlur,1620.0,3.0,110.0,3
Built-up  Area,Ready To Move,Chandapura,4800.0,4.0,250.0,4
Super built-up  Area,Ready To Move,Sarjapur  Road,1000.0,2.0,38.5,2
Plot  Area,Ready To Move,Ramamurthy Nagar,800.0,4.0,88.0,3
Super built-up  Area,18-Apr,Thanisandra,1250.0,1.0,54.0,2
Built-up  Area,Ready To Move,3rd Block Koramangala,1750.0,3.0,170.0,3
Super built-up  Area,Ready To Move,Anekal,997.0,3.0,55.0,3
Super built-up  Area,15-Oct,Kothanur,1760.0,3.0,111.0,3
Super built-up  Area,Ready To Move,Yelahanka,1322.0,2.0,75.0,2
Plot  Area,Ready To Move,Kanaka Nagar,1365.0,3.0,99.0,3
Super built-up  Area,Ready To Move,Sahakara Nagar,1500.0,3.0,125.0,3
Super built-up  Area,Ready To Move,Kaggadasapura,1256.0,2.0,50.0,3
Super built-up  Area,Ready To Move,Brookefield,941.0,2.0,48.0,2
Plot  Area,Ready To Move,Devanahalli,5000.0,4.0,465.0,4
Super built-up  Area,Ready To Move,Kanakpura Road,1665.0,3.0,86.58,3
Super built-up  Area,Ready To Move,Hennur Road,1414.0,2.0,84.18,2
Super built-up  Area,Ready To Move,Chikkalasandra,1270.0,2.0,55.25,3
Plot  Area,Ready To Move,Madiwala,800.0,2.0,80.0,3
Plot  Area,Ready To Move,Kengeri Satellite Town,4100.0,3.0,300.0,4
Built-up  Area,Ready To Move,Mathikere,1800.0,3.0,105.0,6
Built-up  Area,Ready To Move,Pattanagere,850.0,2.0,35.0,2
Super built-up  Area,21-Mar,Kanakpura Road,712.0,1.0,38.44,1
Super built-up  Area,17-Dec,Rajaji Nagar,2648.0,5.0,251.5,4
Plot  Area,Ready To Move,Basaveshwara Nagar Yelahanka,900.0,4.0,180.0,3
Plot  Area,Ready To Move,TC Palaya,900.0,2.0,55.0,2
Super built-up  Area,Ready To Move,Hebbal,1200.0,2.0,49.0,2
Super built-up  Area,Ready To Move,Kengeri Satellite Town,654.0,1.0,22.0,1
Super built-up  Area,Ready To Move,Peenya,708.0,1.0,55.0,2
Plot  Area,Ready To Move,Singapura Village,600.0,5.0,75.0,4
Built-up  Area,Ready To Move,Wilson Garden,1680.0,3.0,135.0,3
Super built-up  Area,Ready To Move,Jakkasandra Extension,990.0,2.0,58.0,2
Super built-up  Area,Ready To Move,Uttarahalli,1380.0,2.0,42.0,2
Super built-up  Area,18-May,Hebbal,1088.0,2.0,62.0,2
Super built-up  Area,Ready To Move,Harlur,1414.0,3.0,77.5,3
Built-up  Area,Ready To Move,Seshadripuram,1240.0,2.0,100.0,2
Built-up  Area,Ready To Move,Ganesha Block,1810.0,3.0,118.0,3
Super built-up  Area,19-Dec,4th Block Jayanagar,2005.0,3.0,240.0,3
Super built-up  Area,Ready To Move,Kothanur,1185.0,2.0,58.0,2
Plot  Area,18-Oct,Whitefield,1200.0,3.0,57.15,3
Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,52.0,2
Super built-up  Area,Ready To Move,Shikaripalya,1265.0,2.0,58.0,2
Built-up  Area,Ready To Move,Sahakara Nagar,1100.0,2.0,55.0,2
Built-up  Area,Ready To Move,Friends Colony,1035.0,2.0,44.0,2
Super built-up  Area,Ready To Move,Sonnenahalli,614.5,1.0,30.715,1
Built-up  Area,Ready To Move,2nd Block Jayanagar,1000.0,2.0,97.0,2
Super built-up  Area,Ready To Move,Hegde Nagar,1179.0,2.0,49.35,2
Super built-up  Area,Ready To Move,Vittasandra,1650.0,3.0,84.0,3
Plot  Area,Ready To Move,Malur Hosur Road,2800.0,4.0,100.0,6
Plot  Area,Ready To Move,Lakshmipura Vidyaanyapura,3500.0,6.0,120.0,8
Built-up  Area,Ready To Move,Nagaraja Garden,1430.0,3.0,78.65,3
Super built-up  Area,Ready To Move,Marathahalli,1130.0,2.0,58.0,3
Super built-up  Area,Ready To Move,JP Nagar,1850.0,2.0,110.0,3
Super built-up  Area,Ready To Move,Hennur,1340.0,3.0,54.24,3
Plot  Area,Ready To Move,Nagawara Junction,600.0,2.0,30.0,2
Super built-up  Area,Ready To Move,Banashankari,2582.0,5.0,250.0,3
Super built-up  Area,Ready To Move,Channasandra,1160.0,2.0,55.0,2
Built-up  Area,Ready To Move,Hegganahalli,1200.0,2.0,45.0,1
Built-up  Area,18-Aug,Rajanna Layout,1116.0,2.0,37.6,2
Plot  Area,Ready To Move,Nagarbhavi  BDA Complex,600.0,2.0,85.0,3
Super built-up  Area,Ready To Move,Sarakki Nagar,2663.0,4.0,338.0,3
Built-up  Area,Ready To Move,Devasthanagalu,1090.0,2.0,45.0,2
Super built-up  Area,Ready To Move,JP Nagar,1100.0,2.0,45.0,2
Super built-up  Area,18-Aug,Kammasandra,1365.0,2.0,34.13,3
Super built-up  Area,20-Feb,Vijayanagar,1484.0,3.0,79.19,3
Super built-up  Area,Ready To Move,Green Glen Layout,1630.0,3.0,68.0,3
Super built-up  Area,18-May,Whitefield,1451.0,2.0,52.43,3
Super built-up  Area,19-Jul,Kanakpura Road,1330.0,2.0,107.0,2
Super built-up  Area,Ready To Move,Thanisandra,2127.0,3.0,135.0,3
Plot  Area,Ready To Move,Adityanagar,875.0,5.0,120.0,5
Plot  Area,Ready To Move,Hallehalli,1260.0,4.0,65.0,4
Super built-up  Area,Ready To Move,Sarjapur  Road,1173.0,2.0,45.75,3
Super built-up  Area,Ready To Move,Electronics City Phase 1,1445.0,2.0,56.0,3
Super built-up  Area,Ready To Move,Jayamahal Extension,2250.0,4.0,400.0,4
Plot  Area,18-Dec,Bannerghatta Road,1500.0,4.0,239.0,3
Super built-up  Area,18-Nov,Thanisandra,2336.5,3.0,115.89,3
Super built-up  Area,Ready To Move,JP Nagar,1197.0,2.0,47.88,2
